datahora,satelite,pais,estado,municipio,bioma,diasemchuva,precipitacao,riscofogo,latitude,longitude,frp
2018/03/06 17:55:00,AQUA_M-T,Brasil,AMAZONAS,MANICORE,Amazonia,0,27.65,0,-8.253,-61.504,5.2
2018/08/02 18:10:00,AQUA_M-T,Brasil,AMAZONAS,GUAJARA,Amazonia,9,1.28,0.16,-7.441,-72.657,64.3
2018/10/01 18:35:00,AQUA_M-T,Brasil,AMAZONAS,GUAJARA,Amazonia,2,1.25,0.17,-7.279,-72.71,7.1
2018/08/09 18:20:00,AQUA_M-T,Brasil,AMAZONAS,TEFE,Amazonia,0,1,0.02,-3.607,-64.527,24.6
2018/08/17 17:30:00,AQUA_M-T,Brasil,AMAZONAS,AUTAZES,Amazonia,0,0,0.05,-4.007,-59.73,9.7
2018/08/17 17:30:00,AQUA_M-T,Brasil,AMAZONAS,CAREIRO,Amazonia,4,0,0.05,-3.822,-59.855,18.1
2018/09/08 18:30:00,AQUA_M-T,Brasil,AMAZONAS,LABREA,Amazonia,7,0,0.76,-8.7,-66.992,33.5
2018/09/15 17:00:00,AQUA_M-T,Brasil,AMAZONAS,PARINTINS,Amazonia,3,0,nan,-3.217,-56.848,20.5
2018/09/03 18:10:00,AQUA_M-T,Brasil,AMAZONAS,MANACAPURU,Amazonia,6,40.17,0.2,-3.216,-61.176,43.8
2018/11/12 17:35:00,AQUA_M-T,Brasil,AMAZONAS,BOA VISTA DO RAMOS,Amazonia,4,0,nan,-3.219,-58,11.6
2018/11/14 17:20:00,AQUA_M-T,Brasil,AMAZONAS,MAUES,Amazonia,6,0.2,0.07,-4.182,-57.587,7.3
2018/11/14 17:20:00,AQUA_M-T,Brasil,AMAZONAS,MAUES,Amazonia,2,0,nan,-3.617,-57.44,7.1
2018/11/14 17:20:00,AQUA_M-T,Brasil,AMAZONAS,MAUES,Amazonia,6,0.13,0.11,-3.598,-57.819,8.6
2018/11/14 17:20:00,AQUA_M-T,Brasil,AMAZONAS,MAUES,Amazonia,2,0,0.07,-3.486,-57.554,18.3
2018/11/14 17:20:00,AQUA_M-T,Brasil,AMAZONAS,MAUES,Amazonia,6,0,0.12,-3.445,-57.844,17.5
2018/11/14 17:20:00,AQUA_M-T,Brasil,AMAZONAS,MAUES,Amazonia,6,0,0.12,-3.444,-57.835,10.9
2018/11/14 17:20:00,AQUA_M-T,Brasil,AMAZONAS,BARREIRINHA,Amazonia,2,0,nan,-3.29,-57.013,18.4
2018/11/14 17:20:00,AQUA_M-T,Brasil,AMAZONAS,BARREIRINHA,Amazonia,6,0,nan,-3.287,-56.995,12.7
2018/11/14 17:25:00,AQUA_M-T,Brasil,AMAZONAS,MAUES,Amazonia,6,0,0.1,-3.278,-57.768,10.3
2018/11/14 17:25:00,AQUA_M-T,Brasil,AMAZONAS,PARINTINS,Amazonia,2,0.43,0.16,-3.096,-56.944,58.4
2018/11/14 17:25:00,AQUA_M-T,Brasil,AMAZONAS,PARINTINS,Amazonia,2,0.43,nan,-3.095,-56.935,126.9
2018/11/14 17:25:00,AQUA_M-T,Brasil,AMAZONAS,BARREIRINHA,Amazonia,6,0,nan,-3.06,-57.21,6.1
2018/11/14 17:25:00,AQUA_M-T,Brasil,AMAZONAS,PARINTINS,Amazonia,0,1.53,nan,-3.051,-56.893,22
2018/11/14 17:25:00,AQUA_M-T,Brasil,AMAZONAS,BARREIRINHA,Amazonia,0,0,nan,-2.885,-57.02,22.7
2018/11/14 17:25:00,AQUA_M-T,Brasil,AMAZONAS,BARREIRINHA,Amazonia,0,0,nan,-2.877,-57.03,5.4
2018/11/14 17:25:00,AQUA_M-T,Brasil,AMAZONAS,BARREIRINHA,Amazonia,0,0,nan,-2.876,-57.021,22.2
2018/11/14 17:25:00,AQUA_M-T,Brasil,AMAZONAS,PARINTINS,Amazonia,6,0,nan,-2.806,-56.659,7.4
2018/11/14 17:25:00,AQUA_M-T,Brasil,AMAZONAS,URUCURITUBA,Amazonia,6,0,nan,-2.738,-57.472,34.8
2018/11/14 17:25:00,AQUA_M-T,Brasil,AMAZONAS,URUCURITUBA,Amazonia,6,0,nan,-2.737,-57.463,28.6
2018/11/14 17:25:00,AQUA_M-T,Brasil,AMAZONAS,URUCURITUBA,Amazonia,6,0,nan,-2.733,-57.5,15.4
2018/11/14 17:25:00,AQUA_M-T,Brasil,AMAZONAS,URUCURITUBA,Amazonia,6,0.18,nan,-2.724,-57.502,10.7
2018/11/14 17:25:00,AQUA_M-T,Brasil,AMAZONAS,PARINTINS,Amazonia,6,0,0.08,-2.723,-56.53,14.4
2018/11/05 17:25:00,AQUA_M-T,Brasil,AMAZONAS,LABREA,Amazonia,2,0.6,0.05,-9.05,-65.906,28.9
2018/11/05 17:30:00,AQUA_M-T,Brasil,AMAZONAS,COARI,Amazonia,2,1.55,0.04,-4.097,-63.141,12.3
